{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.090540  rmse 0.1605  df(ActivateDay.Avg) 0.9493  MAE 0.0746
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
                test loss 0.029456  rmse 0.1585  df(ActivateDay.Avg) 1.0000  MAE 0.0723
      train: epoch 1 loss 0.086874  rmse 0.1572  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
                test loss 0.029456  rmse 0.1585  df(ActivateDay.Avg) 1.0000  MAE 0.0723
      train: epoch 2 loss 0.086919  rmse 0.1572  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
                test loss 0.029456  rmse 0.1585  df(ActivateDay.Avg) 1.0000  MAE 0.0723
      train: epoch 3 loss 0.086859  rmse 0.1572  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
                test loss 0.029456  rmse 0.1585  df(ActivateDay.Avg) 1.0000  MAE 0.0723
      train: epoch 4 loss 0.086933  rmse 0.1573  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029724  rmse 0.1593  df(ActivateDay.Avg) 0.9999  MAE 0.0732
                test loss 0.029455  rmse 0.1585  df(ActivateDay.Avg) 0.9999  MAE 0.0723
      train: epoch 5 loss 0.087662  rmse 0.1579  df(ActivateDay.Avg) 0.9817  MAE 0.0729
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
      train: epoch 6 loss 0.086904  rmse 0.1572  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
      train: epoch 7 loss 0.086939  rmse 0.1573  df(ActivateDay.Avg) 1.0000  MAE 0.0720
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
      train: epoch 8 loss 0.086919  rmse 0.1572  df(ActivateDay.Avg) 1.0000  MAE 0.0719
               valid loss 0.029725  rmse 0.1593  df(ActivateDay.Avg) 1.0000  MAE 0.0732
      train: epoch 9 loss 0.086934  rmse 0.1573  df(ActivateDay.Avg) 1.0000  MAE 0.0719
