enrollment_id,day,all#num,problem#num,video#num,access#num,wiki#num,discussion#num,navigate#num,page_close#num,user_image_1,user_image_2
30,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
31,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,25,141.0,40.0,21.0,50.0,0.0,5.0,3.0,22.0,0,0
48,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
50,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
68,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
69,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
75,25,5.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0,0
87,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
92,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
97,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
101,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104,25,81.0,9.0,11.0,28.0,0.0,0.0,13.0,20.0,0,0
111,25,10.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,0,0
113,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
119,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
123,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
129,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
143,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
151,25,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0
164,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
166,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
167,25,61.0,0.0,13.0,23.0,1.0,0.0,7.0,17.0,0,0
171,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
180,25,23.0,0.0,0.0,17.0,0.0,0.0,5.0,1.0,0,0
193,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
195,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
219,25,170.0,19.0,7.0,128.0,1.0,7.0,7.0,1.0,0,0
223,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
228,25,40.0,0.0,9.0,16.0,0.0,0.0,3.0,12.0,0,0
250,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
254,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
255,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
257,25,12.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0,0
275,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
305,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
320,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
321,25,20.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,0,0
334,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
343,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
353,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
354,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
361,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
364,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
379,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
425,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
466,25,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0
474,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
475,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
482,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
487,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
491,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
496,25,11.0,0.0,2.0,4.0,0.0,0.0,2.0,3.0,0,0
507,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
511,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
512,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
518,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
520,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
523,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
527,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
530,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
541,25,43.0,12.0,4.0,19.0,0.0,0.0,2.0,6.0,0,0
545,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
546,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
