user_id,register_type,device_type,truth,day1,day2,day3,day4,day5,day6,day7,total_activity_day,truth_rate
744025,1,283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270299,1,259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571220,1,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.7142857142857143
1308501,0,23,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.2857142857142857
745554,2,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285
1031012,1,650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913297,2,593,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.8571428571428571
266500,0,403,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.2857142857142857
475120,0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547944,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916655,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719262,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026175,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1140342,1,145,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.14285714285714285
688100,1,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342459,1,24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.2857142857142857
926263,1,96,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.5714285714285714
40710,0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246954,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153579,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161418,0,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649526,3,1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376694,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265894,1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
290029,0,17,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.8571428571428571
926952,2,480,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14285714285714285
70931,2,11,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.5714285714285714
319938,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711107,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872383,1,162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
324085,1,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
720967,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
895912,2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
396421,0,122,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.5714285714285714
605799,2,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374225,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188120,1,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4416,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245385,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244564,1,353,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.8571428571428571
321610,0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998568,1,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.14285714285714285
362447,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508312,0,17,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.42857142857142855
828824,0,693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
604296,0,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
1040779,0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104515,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909345,0,41,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.5714285714285714
584573,1,1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809615,0,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
705594,1,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544673,0,546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1353252,1,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228936,1,465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130304,1,483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636433,0,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0
649913,7,2540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300198,2,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958588,0,1043,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.5714285714285714
365947,1,990,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.14285714285714285
546663,2,22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285
358836,2,428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
